use_count,fp_size,radius,accuracy
False,2048,2,0.6478589420654912
False,2048,3,0.6322418136020151
False,2048,5,0.6375314861460957
False,4096,2,0.655919395465995
False,4096,3,0.6473551637279596
False,4096,5,0.6493702770780856
False,8192,2,0.6604534005037783
False,8192,3,0.6541561712846348
False,8192,5,0.6372795969773299
True,2048,2,0.6448362720403022
True,2048,3,0.6410579345088161
True,2048,5,0.643073047858942
True,4096,2,0.6523929471032746
True,4096,3,0.6375314861460957
True,4096,5,0.6302267002518892
True,8192,2,0.6569269521410579
True,8192,3,0.6523929471032746
True,8192,5,0.6581863979848867
