smiles,cid,rat_vi,GHS_Category
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCC(O)C(C)(C)O,5283748.0,2.0,1
C=C1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12.Cl,54685047.0,202.0,3
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(OC(=O)CCN(C)C)C1C(C)(C)CCC(O)C12C.Cl,444028.0,6.1000000000000005,2
C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,656958.0,20.0,2
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,6915944.0,2000.0,4
C=CC1=C(C)c2cc3[n-]c(cc4[n-]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C.O.[Fe+2],27337.0,43.0,2
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,441074.0,23.0,2
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,441326.0,55.0,3
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.Cl,11639099.0,30.0,2
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.Cl.Cl,91429.0,78.0,3
C=CC1C[N+]2(C(C)C)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],44636.0,20.8,2
C=CC1C[N+]2(C)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],44638.0,5.0,1
C=CC1C[N+]2(CC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],44630.0,5.2,2
C=CC1C[N+]2(CCC(C)C)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Br-],44634.0,5.3,2
C=CC1C[N+]2(CCC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Br-],44640.0,4.2,1
C=CC1C[N+]2(CCC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],44642.0,6.9,2
