smiles,cid,mouse_vo,GHS_Category
Br.Br.Cc1n[nH]c(=O)cc1-c1ccc(N)cc1,3088393.0,738.0,4
Br.Br.N=C(N)SCCN,5940.0,815.0,4
Br.Br.N=C(N)c1ccc2cc(OC(=O)c3ccc(CN)s3)ccc2c1,13364007.0,2500.0,5
Br.Br.OC1(c2ccc(Cl)c(Cl)c2)CSC2=NCC3(CCN(Cc4ccccc4)CC3)CN21,3040539.0,1200.0,4
Br.Br.OC1(c2ccc3c(c2)CCCC3)CSC2=NCC3(CCN(Cc4ccccc4)CC3)CN21,3040541.0,3200.0,5
Br.Br.OC1(c2ccc3ccccc3c2)CSC2=NCC3(CCN(Cc4ccccc4)CC3)CN21,3040535.0,3200.0,5
Br.Br.OC1(c2ccccc2)CSC2=NCC3(CCN(Cc4ccccc4)CC3)CN21,3045492.0,360.0,4
Br.Br.c1ccc(N=C(Nc2ccc(OCCN3CCCCC3)cc2)c2ccccc2)cc1,54644.0,467.0,4
Br.Br.c1ccc(N=C(Nc2ccc(OCCN3CCOCC3)cc2)c2ccccc2)cc1,54642.0,715.0,4
Br.C=CCCCOc1ccc(N)cc1OC,60023.0,500.0,4
Br.C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,134052.0,75.0,3
Br.CC(=O)Oc1ccc(C(O)CNC(C)(C)C)c(OC(C)=O)c1,3040381.0,2100.0,5
Br.CC(=O)SCc1cnc(C)c(O)c1CN,28546.0,1340.0,4
Br.CC(=O)SCc1cnc(C)c(O)c1CSC(C)=O,51855.0,409.0,4
Br.CC(C)(C)NCC(O)c1cc(OC(=O)C(C)(C)C)cc(OC(=O)C(C)(C)C)c1,3040465.0,2200.0,5
Br.CC(C)C(=O)Oc1cc(OC(=O)C(C)C)cc(C(O)CNC(C)(C)C)c1,198280.0,2150.0,5
Br.CC(C)N(CC(=O)NC(=O)CN)c1ccc(Cl)cc1C(=O)c1ccccc1,3057616.0,1000.0,4
Br.CC(C)N(CCCC(=O)c1csc2ccccc12)C(C)C,3046055.0,500.0,4
Br.CC(C)N(Cc1ccccc1)c1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,24845126.0,160.0,3
Br.CC(C)Nc1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,13481216.0,500.0,4
Br.CC(C)S(=O)(=O)c1ccc(C2=NCCc3cc(O)c(O)cc32)cc1,210048.0,5000.0,5
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,5702161.0,1990.0,4
Br.CC(Cc1ccccc1)N=C1CC(C)(C)CC2=Nc3c(ncnc3N(C)C)SC21,135463965.0,340.0,4
Br.CC1(C)CC(=N)C2Sc3ncnc(N)c3N=C2C1,13481195.0,335.0,4
Br.CC1(C)CC(=N)C2Sc3ncnc(NCc4ccccc4)c3N=C2C1,24845128.0,390.0,4
Br.CC12CCCCCC(Cc3ccc(O)cc31)C2N,171575.0,363.0,4
Br.CC1C(c2ccccc2)N=C(N)N1C,44150573.0,15.0,2
Br.CC1C(c2ccccc2)OC(=N)N1C,3058613.0,95.0,3
Br.CC1N=C(N)OC1c1ccccc1,3058502.0,25.0,2
Br.CCC(=O)OC1(c2ccccc2)CCN(CC=C2c3ccccc3CCc3ccccc32)CC1,203283.0,750.0,4
Br.CCC(=O)Oc1cc(OC(=O)CC)cc(C(O)CNC(C)(C)C)c1,3040463.0,2200.0,5
Br.CCC(CC)COc1ccc(N)cc1OC,27218.0,750.0,4
Br.CCC1(c2ccccc2)C(=O)N(C)C(=O)N(CNC(N)=S)C1=O,3035108.0,1000.0,4
Br.CCC1(c2ccccc2)C(=O)N(C)C(=O)N(CSC(=N)N)C1=O,39601.0,1000.0,4
