smiles,cid,rat_vo,GHS_Category
C#CCNC(=O)Oc1cccc2c1OC(C)(C)O2,31520.0,94.0,3
C#CCO,7859.0,20.0,2
C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,6434236.0,4900.0,5
C#CCOC(=O)CCCCC(=O)OCC#C,242160.0,200.0,3
C#CCOC(=O)Nc1nc(N2CC=CCC2)cc2nc(=O)on12,3068373.0,5000.0,5
C#CCOC(C)=O,69388.0,250.0,3
C#CCOCC#C,23349.0,539.0,4
C#CCON=C1CC2CCC1(C)C2(C)C,9570826.0,1400.0,4
C#CCON=CC1=CCCN(C)C1.Cl,9588765.0,200.0,3
C#CCON=CC1=CCCNC1.Cl,9588759.0,80.0,3
C#CCOP(=O)(OCC(C)C)c1ccccc1,161568.0,600.0,4
C#CCOP(=O)(OCCC)c1ccccc1,87757.0,362.0,4
C#CCOS(=O)OC(CC)COc1ccc(C(C)(C)CC)cc1,103022.0,2000.0,4
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,4936.0,1480.0,4
C#CCOc1ccc(N)cc1C(=O)NCCCC,72095.0,864.0,4
C#CCOc1cccc(OC(=O)NC)c1,19403.0,150.0,3
C#CCOc1ccccc1OC(=O)NC,18662.0,60.0,3
C#CCSP(=O)(NC(=O)CC)OC,3041616.0,500.0,4
C#CCSP(=O)(OCC)OCC,76817.0,18.0,2
C#N.N#[O+].[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Co+3].[Fe],3048682.0,147.0,3
C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,9570073.0,400.0,4
C(=NC1CCCCC1)=NC1CCCCC1,10868.0,400.0,4
C(=NC1CCCCC1)c1ccccc1,75167.0,3080.0,5
C(=NCCCCCCN=Cc1ccco1)c1ccco1,28480.0,490.0,4
C(=Nc1ccc(N=Cc2ccco2)cc1)c1ccco1,99740.0,1220.0,4
C(=Nc1ccccc1)Nc1ccccc1,94888.0,1903.0,4
C(CC1CO1)OCCC1CO1,25405.0,1070.0,4
C(CC=Nc1ccccc1)=Nc1ccccc1.Cl,119876.0,1130.0,4
C(CCC1CO1)CC1CO1,17048.0,1070.0,4
C(CCOCC1CO1)COCC1CO1,17046.0,1134.0,4
C(COCC1CO1)OCC1CO1,16683.0,2500.0,5
C(OCC1CO1)C1CO1,16704.0,450.0,4
C(Oc1nc(OCC2CO2)nc(OCC2CO2)n1)C1CO1,96192.0,1680.0,4
C.C.C.C.C.O=C(C(F)(F)F)C(F)(F)Cl.O=C(C(F)(F)F)C(F)(F)Cl,81467.0,85.0,3
C.C.CCCCCCCCCCCC.CCCCCCCCCCCC.C[N+](C)(C)C.C[N+](C)(C)Cc1ccccc1.C[N+](C)(C)Cc1ccccc1.[Cl-].[Cl-].[Cl-],156614035.0,389.0,4
